Generation,Best_Fitness,Terminals,Population_Size,Max_Depth
1,603.8682644062336,"['x', 1]",50,2
2,603.8682644062336,"['x', 1]",50,2
3,492.7141044865871,"['x', 1]",50,2
4,492.7141044865871,"['x', 1]",50,2
5,492.7141044865871,"['x', 1]",50,2
6,492.7141044865871,"['x', 1]",50,2
7,462.6140686280716,"['x', 1]",50,2
8,345.98718122858304,"['x', 1]",50,2
9,345.98718122858304,"['x', 1]",50,2
10,330.0334255209562,"['x', 1]",50,2
11,233.12188084611478,"['x', 1]",50,2
12,156.73716290443457,"['x', 1]",50,2
13,111.01583301841195,"['x', 1]",50,2
14,94.66238711663215,"['x', 1]",50,2
15,94.66238711663215,"['x', 1]",50,2
16,83.81906852233539,"['x', 1]",50,2
17,83.81906852233539,"['x', 1]",50,2
18,83.81906852233539,"['x', 1]",50,2
19,83.81906852233539,"['x', 1]",50,2
20,83.81906852233539,"['x', 1]",50,2
21,83.81906852233539,"['x', 1]",50,2
22,83.81906852233539,"['x', 1]",50,2
23,83.81906852233539,"['x', 1]",50,2
24,83.81906852233539,"['x', 1]",50,2
25,83.81906852233539,"['x', 1]",50,2
26,83.81906852233539,"['x', 1]",50,2
27,83.81906852233539,"['x', 1]",50,2
28,83.81906852233539,"['x', 1]",50,2
29,83.81906852233539,"['x', 1]",50,2
30,83.81906852233539,"['x', 1]",50,2
31,83.81906852233539,"['x', 1]",50,2
32,83.81906852233539,"['x', 1]",50,2
33,83.81906852233539,"['x', 1]",50,2
34,83.81906852233539,"['x', 1]",50,2
35,83.81906852233539,"['x', 1]",50,2
36,83.81906852233539,"['x', 1]",50,2
1,343.01181993896955,"['x', 1]",50,2
2,343.01181993896955,"['x', 1]",50,2
3,343.01181993896955,"['x', 1]",50,2
4,343.01181993896955,"['x', 1]",50,2
5,343.01181993896955,"['x', 1]",50,2
6,334.5198635869229,"['x', 1]",50,2
7,334.5198635869229,"['x', 1]",50,2
8,334.5198635869229,"['x', 1]",50,2
9,267.0417684176743,"['x', 1]",50,2
10,247.16215050730003,"['x', 1]",50,2
11,230.33874444029826,"['x', 1]",50,2
12,184.9166022568819,"['x', 1]",50,2
13,147.78321883566855,"['x', 1]",50,2
14,147.78321883566855,"['x', 1]",50,2
15,147.78321883566855,"['x', 1]",50,2
16,118.09632001237715,"['x', 1]",50,2
17,118.09632001237715,"['x', 1]",50,2
18,107.83718836579028,"['x', 1]",50,2
19,106.52695215403833,"['x', 1]",50,2
20,96.49374587428633,"['x', 1]",50,2
21,89.5167514379069,"['x', 1]",50,2
22,89.5167514379069,"['x', 1]",50,2
23,89.5167514379069,"['x', 1]",50,2
24,89.5167514379069,"['x', 1]",50,2
25,89.5167514379069,"['x', 1]",50,2
26,89.5167514379069,"['x', 1]",50,2
27,89.5167514379069,"['x', 1]",50,2
28,89.5167514379069,"['x', 1]",50,2
29,89.5167514379069,"['x', 1]",50,2
30,89.5167514379069,"['x', 1]",50,2
31,89.5167514379069,"['x', 1]",50,2
32,89.5167514379069,"['x', 1]",50,2
33,89.5167514379069,"['x', 1]",50,2
34,89.5167514379069,"['x', 1]",50,2
35,89.5167514379069,"['x', 1]",50,2
36,89.5167514379069,"['x', 1]",50,2
37,89.5167514379069,"['x', 1]",50,2
38,89.5167514379069,"['x', 1]",50,2
39,89.5167514379069,"['x', 1]",50,2
40,89.5167514379069,"['x', 1]",50,2
41,89.5167514379069,"['x', 1]",50,2
1,595.3007884466498,"['x', 1]",50,2
2,595.3007884466498,"['x', 1]",50,2
3,595.3007884466498,"['x', 1]",50,2
4,562.1510752835327,"['x', 1]",50,2
5,562.1510752835327,"['x', 1]",50,2
6,562.1510752835327,"['x', 1]",50,2
7,562.1510752835327,"['x', 1]",50,2
8,551.2891354433231,"['x', 1]",50,2
9,551.2891354433231,"['x', 1]",50,2
10,551.2891354433231,"['x', 1]",50,2
11,551.2891354433231,"['x', 1]",50,2
12,551.2891354433231,"['x', 1]",50,2
13,551.2891354433231,"['x', 1]",50,2
14,551.2891354433231,"['x', 1]",50,2
15,551.2891354433231,"['x', 1]",50,2
16,551.2891354433231,"['x', 1]",50,2
17,551.2891354433231,"['x', 1]",50,2
18,551.2891354433231,"['x', 1]",50,2
19,551.2891354433231,"['x', 1]",50,2
20,551.2891354433231,"['x', 1]",50,2
21,551.2891354433231,"['x', 1]",50,2
22,551.2891354433231,"['x', 1]",50,2
23,551.2891354433231,"['x', 1]",50,2
24,551.2891354433231,"['x', 1]",50,2
25,551.2891354433231,"['x', 1]",50,2
26,551.2891354433231,"['x', 1]",50,2
27,551.2891354433231,"['x', 1]",50,2
28,551.2891354433231,"['x', 1]",50,2
1,749.2967400902118,"['x', 1]",50,2
2,749.2967400902118,"['x', 1]",50,2
3,626.0418365313849,"['x', 1]",50,2
4,603.704274083607,"['x', 1]",50,2
5,588.7583449725514,"['x', 1]",50,2
6,432.2353528728723,"['x', 1]",50,2
7,432.2353528728723,"['x', 1]",50,2
8,328.0099067020512,"['x', 1]",50,2
9,310.2162215185738,"['x', 1]",50,2
10,218.30772597300586,"['x', 1]",50,2
11,145.88952790220526,"['x', 1]",50,2
12,145.88952790220526,"['x', 1]",50,2
13,102.63475906018355,"['x', 1]",50,2
14,102.63475906018355,"['x', 1]",50,2
15,102.63475906018355,"['x', 1]",50,2
16,102.63475906018355,"['x', 1]",50,2
17,102.63475906018355,"['x', 1]",50,2
18,102.63475906018355,"['x', 1]",50,2
19,102.63475906018355,"['x', 1]",50,2
20,102.63475906018355,"['x', 1]",50,2
21,102.63475906018355,"['x', 1]",50,2
22,102.63475906018355,"['x', 1]",50,2
23,102.63475906018355,"['x', 1]",50,2
24,102.63475906018355,"['x', 1]",50,2
25,102.63475906018355,"['x', 1]",50,2
26,102.63475906018355,"['x', 1]",50,2
27,102.63475906018355,"['x', 1]",50,2
28,102.63475906018355,"['x', 1]",50,2
29,102.63475906018355,"['x', 1]",50,2
30,102.63475906018355,"['x', 1]",50,2
31,102.63475906018355,"['x', 1]",50,2
32,102.63475906018355,"['x', 1]",50,2
33,102.63475906018355,"['x', 1]",50,2
