terminals,population_size,max_depth,experssion,eval,num_of_gen,num_of_runs
"['x', 1]",50,2,(((1 - x) + ((1 - x) + (((1 + (1 * 1)) - (1 * x)) / ((1 - 1) - (1 / x))))) + (((x * x) + ((1 + (1 * 1)) - (1 * x))) + (1 - x))),85.6732545397467,36,1
"['x', 1]",50,2,((((((x - 1) * (x + x)) - (x - 1)) - (x - 1)) - (x - 1)) - (x - 1)),89.21990276114951,41,2
"['x', 1]",50,2,(((x * x) + ((1 * 1) * (1 / 1))) + ((x * x) + ((1 * 1) * (1 / 1)))),545.0799260895317,28,3
"['x', 1]",50,2,(((1 - x) + ((1 - x) + (x * x))) + ((1 - x) + ((1 - x) + ((1 - x) + (x * x))))),98.24069943156769,33,4
"['x', 1, 2]",50,2,(((2 - x) * ((2 * 2) * (2 / 1))) + ((x * x) + x)),18.88121465446468,33,1
"['x', 1, 2]",50,2,((2 - x) * ((2 * 1) * (1 - x))),86.32272461392175,24,2
"['x', 1, 2]",50,2,((((1 + 2) + ((x * (x - 2)) - x)) + 2) + (((2 + 1) + ((2 - x) - (x + x))) + (2 / 1))),6.112191254813648,31,3
"['x', 1, 2]",50,2,(((1 + ((1 - x) * (2 * 1))) + ((1 + ((1 - x) * (2 * 1))) + (2 / 2))) + ((1 + ((1 - x) * (2 * 1))) + (2 + (x * x)))),5.913714161843382,35,4
"['x', 1, 2, 3]",50,2,((1 + 1) * ((3 + (x * x)) - ((x + x) / (2 - 1)))),131.3746614305536,37,1
"['x', 1, 2, 3]",50,2,(((2 - x) * (3 - x)) + ((3 + 3) - (x + 1))),13.305585583991165,37,2
"['x', 1, 2, 3]",50,2,((((3 * 2) / (3 / 3)) + ((3 * (x - x)) - ((x - 3) / 1))) + (((x * x) - x) + ((3 * (1 - x)) - ((x - 3) / 1)))),1.4799170339051149,34,3
"['x', 1, 2, 3]",50,2,((((1 * 2) + (2 - x)) * 2) + (((x + (2 * 3)) - (x + x)) + (((x - 2) / (1 / x)) - x))),0.0009094177126551454,15,4
"['x', 1, 2, 3, 4]",50,2,((3 - x) * (3 - x)),36.96023699753929,37,1
"['x', 1, 2, 3, 4]",50,2,(((x - 3) * (x - 3)) + ((2 / 1) + (3 * 1))),0.0008798868003556799,12,2
"['x', 1, 2, 3, 4]",50,2,(4 * (((3 + 2) - (x / 4)) - (x * 1))),102.84665627501816,29,3
"['x', 1, 2, 3, 4]",50,2,((4 - x) * (2 - x)),53.22301698893961,29,4
"['x', 1]",100,2,((((1 - x) + (1 + 1)) + ((1 - x) * (1 - x))) + (((1 - x) * (1 - x)) - x)),82.89124432484073,34,1
"['x', 1]",100,2,((((1 + 1) * 1) * (((x * x) - (1 * x)) + (1 - x))) - (x + x)),105.48183473407273,33,2
"['x', 1]",100,2,((((1 * x) - (x - 1)) + (1 - x)) + (((((1 / 1) - (x + 1)) - (x * 1)) + (((1 - 1) + (x * x)) + (1 - x))) + ((1 - x) * (1 - x)))),86.32272461392175,41,3
"['x', 1]",100,2,(((1 - x) + (1 * 1)) + ((((x * x) + ((x * x) + (1 - x))) + ((1 - x) + (((x - x) / (1 / 1)) - (x + x)))) + (1 - x))),82.89124432484073,41,4
"['x', 1, 2]",100,2,(((x - 2) * (x + x)) + ((((2 * 2) * 2) + 1) - (x * x))),86.3730814096465,35,1
"['x', 1, 2]",100,2,(((((((x - 1) - 2) * (x - 2)) + (2 - x)) + 2) + 2) + 2),0.0009325037424018963,27,2
"['x', 1, 2]",100,2,((((1 * 2) * (2 - x)) + ((2 - x) + ((((2 * 2) + 1) - (2 + x)) + (x * x)))) + ((1 * 2) * (2 - x))),1.4788122627797784,33,3
"['x', 1, 2]",100,2,((2 + (2 - x)) + (((1 - 2) * (x + x)) + (((x - 2) * (x + x)) + (2 + x)))),82.41673355884386,40,4
"['x', 1, 2, 3]",100,2,(((2 + 3) - (1 + x)) * (3 - x)),18.22598554492304,32,1
"['x', 1, 2, 3]",100,2,((3 * 2) + ((3 - x) * (3 - x))),1.4799170339051149,39,2
"['x', 1, 2, 3]",100,2,(((((1 - (1 + x)) + (3 / 2)) * (3 - x)) + (3 * 2)) + (1 + ((1 - (x + x)) + (3 / 2)))),3.0845939863912584,37,3
"['x', 1, 2, 3]",100,2,((((1 * 3) + 3) * ((3 + 1) - 2)) + (((x * x) - ((x * 2) * 3)) + (2 + 1))),1.4799170339051149,29,4
"['x', 1, 2, 3, 4]",100,2,(((4 / 1) - 1) + (((1 * 3) - x) * ((1 * 3) - x))),5.913714161843382,40,1
"['x', 1, 2, 3, 4]",100,2,((4 - x) * (4 - x)),55.27944932397401,25,2
"['x', 1, 2, 3, 4]",100,2,(x + ((3 - x) * ((1 + 3) - x))),5.913714161843382,36,3
"['x', 1, 2, 3, 4]",100,2,(((3 + (2 * 3)) - (2 * x)) + ((4 - x) * (3 - (x / 3)))),40.95205822136733,27,4
"['x', 1]",150,2,(((((((1 - x) - x) + ((x * x) + (((1 * 1) - (x + x)) + 1))) + ((((1 - x) - x) + ((1 * x) + (((1 * x) - (x + x)) + 1))) + ((x / x) + (1 + 1)))) + ((1 + x) + (1 - x))) + ((1 + x) + (1 - x))) + ((1 + x) + (1 - x))),0.0023262775232426518,29,1
"['x', 1]",150,2,((((1 + 1) + (((1 * x) / (1 / x)) + (1 - x))) - (x + x)) + (((1 + 1) + (((1 * x) / (1 / x)) + (1 - x))) - (x + x))),85.1828181617164,40,2
"['x', 1]",150,2,((((1 - (1 - 1)) - (x + x)) + (((1 - x) / 1) + ((1 * 1) + (1 + 1)))) + (((1 - (x - 1)) - (x + x)) + (((1 - x) / 1) + ((x * x) + (1 + 1))))),35.94674664753664,49,3
"['x', 1]",150,2,(((1 + 1) - x) + (((1 + 1) - x) + (((1 + 1) - x) + (((1 + 1) - x) + (((x + 1) - x) + ((((1 - 1) * x) + (x / x)) + ((((x - 1) * x) + (x / x)) + (1 - (x * 1))))))))),5.930057923791374,58,4
"['x', 1, 2]",150,2,(((2 + 1) * (1 - (x - 2))) + (((2 + 1) - (x - 2)) + ((x * x) - (x * (1 * 2))))),0.0008798868003556782,12,1
"['x', 1, 2]",150,2,((((x - 1) * (x * 1)) + (((2 + 1) + (2 / 1)) * (2 - x))) + (((1 - x) + (2 - x)) + (x + x))),1.528444414576885,36,2
"['x', 1, 2]",150,2,((((2 - x) * (2 * 2)) + (x * (x - 2))) + (((2 - x) + x) * (2 + 1))),0.0009094177126551458,15,3
"['x', 1, 2]",150,2,((((x * (x - 2)) + (2 - (x / 2))) + ((2 + (2 * 2)) - (x + (2 * x)))) + (2 + (2 * 2))),3.0819602358734577,39,4
"['x', 1, 2, 3]",150,2,((((2 - x) / 2) * (((3 - 2) - (1 + x)) * (1 + 2))) + ((3 - x) * (1 + 2))),21.58284503813607,35,1
"['x', 1, 2, 3]",150,2,((((x - 2) * (x - 3)) - ((x - 2) / 1)) + (2 * 3)),0.0009094177126551488,10,2
