Generation,Best_Fitness,Terminals,Population_Size,Max_Depth
1,211.30429913734199,"['x', 'x1', 'x2', 'x3']",50,2
2,207.86021996658715,"['x', 'x1', 'x2', 'x3']",50,2
3,200.91444578194404,"['x', 'x1', 'x2', 'x3']",50,2
4,196.7177960412416,"['x', 'x1', 'x2', 'x3']",50,2
5,190.74630300582865,"['x', 'x1', 'x2', 'x3']",50,2
6,190.74630300582865,"['x', 'x1', 'x2', 'x3']",50,2
7,190.74630300582865,"['x', 'x1', 'x2', 'x3']",50,2
8,190.74630300582865,"['x', 'x1', 'x2', 'x3']",50,2
9,190.74630300582865,"['x', 'x1', 'x2', 'x3']",50,2
10,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
11,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
12,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
13,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
14,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
15,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
16,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
17,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
18,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
19,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
20,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
21,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
22,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
23,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
24,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
25,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
26,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
27,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
28,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
29,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
30,190.25324022687812,"['x', 'x1', 'x2', 'x3']",50,2
1,203.8072460814423,"['x', 'x1', 'x2', 'x3']",50,2
2,203.8072460814423,"['x', 'x1', 'x2', 'x3']",50,2
3,192.92648783894,"['x', 'x1', 'x2', 'x3']",50,2
4,192.92648783894,"['x', 'x1', 'x2', 'x3']",50,2
5,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
6,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
7,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
8,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
9,190.46042838114911,"['x', 'x1', 'x2', 'x3']",50,2
