terminals,population_size,max_depth,experssion,eval,num_of_gen,num_of_runs
"['x', 'x1', 'x2', 'x3']",50,2,(1.8894898332601517 / 9.37630593043793),214.83278679625724,30,1
"['x', 'x1', 'x2', 'x3']",50,2,(((x1-98.0)/9999531.0) / (((x1-98.0)/9999531.0) * 9.168620699040147)),226.83819222849675,25,2
"['x', 'x1', 'x2', 'x3']",100,2,0.1365202913537411,204.3296349847648,24,1
"['x', 'x1', 'x2', 'x3']",100,2,((3.900706419578923 * (((x2-188.0)/9999357.0) * (((x1-98.0)/9999531.0) * 4.204388116274089))) / (((x3-0.0)/10.0) * (((x3-0.0)/10.0) / 4.204388116274089))),8.839837216065847,50,2
"['x', 'x1', 'x2', 'x3']",150,2,(((0.14911860807313104 + (0.14911860807313104 + (5.7862695403026265 * ((((x1-98.0)/9999531.0) * 7.709162531599842) + (((x1-98.0)/9999531.0) * 5.7862695403026265))))) * ((x2-188.0)/9999357.0)) / ((x3-0.0)/10.0)),121.31420683257873,50,1
"['x', 'x1', 'x2', 'x3']",150,2,(((7.967311050381184 / (((x3-0.0)/10.0) / ((x1-98.0)/9999531.0))) * (((x2-188.0)/9999357.0) / (((x3-0.0)/10.0) * (((x3-0.0)/10.0) / ((x3-0.0)/10.0))))) / (0.32553364948131436 / 2.2565352167720754)),47.82573592773689,50,2
"['x', 'x1', 'x2', 'x3']",200,2,(9.313273036318567 * (((x2-188.0)/9999357.0) * ((5.8600063807225435 / ((x3-0.0)/10.0)) * (((x1-98.0)/9999531.0) / ((x3-0.0)/10.0))))),46.749795532864056,50,1
"['x', 'x1', 'x2', 'x3']",200,2,((((x1-98.0)/9999531.0) * (5.054148042888388 / (((x3-0.0)/10.0) * ((x3-0.0)/10.0)))) * ((3.4796306743507976 + (0.2397237428216903 * ((x3-0.0)/10.0))) * (((x2-188.0)/9999357.0) * 3.569447056820678))),7.651906408952894,50,2
"['x', 'x1', 'x2', 'x3']",250,2,((((1.6364911408107596 * ((x1-98.0)/9999531.0)) / (((x3-0.0)/10.0) * ((x3-0.0)/10.0))) * (((x2-188.0)/9999357.0) * 4.3101098480904145)) * (9.591012497935365 - (0.9956681716774995 / (((x2-188.0)/9999357.0) + 7.659534501774382)))),0.8866178834114529,50,1
"['x', 'x1', 'x2', 'x3']",250,2,(((((x1-98.0)/9999531.0) / 4.576483705649118) + (((((x3-0.0)/10.0) * ((((x1-98.0)/9999531.0) + ((x1-98.0)/9999531.0)) * ((x1-98.0)/9999531.0))) - ((x1-98.0)/9999531.0)) - (1.6274743787033874 - ((8.454660033869345 * 7.992753926293354) / ((x3-0.0)/10.0))))) * (((x1-98.0)/9999531.0) * (((x2-188.0)/9999357.0) / ((x3-0.0)/10.0)))),1.8650972202577913,50,2
